Pregunta;Respuesta
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Para enfrentar la contaminación lumínica en Medellín debe de usarse luminarias de mejor calidad, se debería cambiar las LED eficientes y reducir el consumo energético, se debería de quitar al luz en una determinada hora y se debe de hacer conciente a la comunidad de lo que pasa con el mal uso de la energía.
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;"- Sensores IoT en postes conectados a una app que mida el brillo del cielo
- Un sistema que ajuste automáticamente la intensidad y horario de encendido, ahorrando energía y costos 
- Los datos se pueden reportar en un sitio web para colegios y ciudadanos 
- Todos pueden votar dónde reducir o mejorar la iluminación "
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;En una ciudad como medellín es muy complejo implementar medidas que mejoren ese aspecto. Sin embargo, el aprovechamiento de las zonas verdes es de gran ayuda para el uso de telescopios. La regulación legal de los lúmenes de las luces de la ciudad podría ayudar, así como también una campaña de concientización al respecto
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Se designarian ciertas horas para apagar cierta cantidad de luces en horas de la madrugada, no es posible apagar todas por seguridad de la ciudad, pero una disminución de ellas puede ayudar a observar el cielo de una mejor manera
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Se hablaría oara realizar un apagón de luces, de manera que la ciudad tome un respiro de todas las luces led que se encuentran al rededor, dándole a la ciudad un respiro de la contaminación energética 
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Crear más conciencia en las personas, gobiernos de etc, sería genial que esto se implementará en las escuelas, para que tengamos una educación en este sentido, implementando, encuentros didácticos que sean llamativos y que puedan generar alto impacto, para se tomen medidas. El tema de los cargadores, apagado de luces, etc.
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Desde la parte técnica sería solo poner luz donde realmente se requiera , o poner bombillos ahorradores, desde la parte cultural incentivar a las personas a que aprueben el cielo para que nos concienticemos , desde lo económica buscar fuentes de energía las baratas y desde la parte social que hayan zonas en la ciudad donde sean oscuras para poder visualizar allí con binoculares
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Encontrar un equilibrio entre la vida cotidiana, y la vida que se pone en contexto, usar luces más amenas con el ambiente 
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;La propuesta sería fomentar un tipo de apagones periódicos por no menos de 10-15 minutos donde se pueda apreciar nuestro cielo  y así le ahorramos también energía al planeta pueden ser por sectores para así también evitar colapsos a nivel social que afecten la continuidad del día a día pero siempre tratando de priorizar la visibilidad del espacio 
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Dimensión técnica en esta lo que haría sería lanzar un proyecto sobre pico y placa pero aplicable a luz este con el fin de combatir la alta luminidad y de allí derivaría el resto en el ámbito de contaminación lumínica reduciría en el económica bajaría la tarifa  se recuperaría la visión del cielo en el ámbito cultural desde un enfoque educativo y social sería beneficioso para todos 
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Gestionaria un proyecto de ley que permita reducir el uso de la energia durante la noche que es el momento ideal para realizar observacion con telescopios, con este proyecto haría que la ciudad apague las luces  por lo menos en sectores puntuales duran un tiempo determinado para poder realizar, esto ayudaría con la reducción de costos de los hogares.
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Implementar luz LED, la iluminación eficiente reduciría significativamente los costos.
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;La ciudad tiene una gran vida nocturna y se entiende lo complicado que puede resultar reducir la contaminación lumínica y reducir consumos pero debe ser algo importante y se debe de implementar si se desea reducir la contaminación.
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Haría estudios donde se pueda disminuir esa contaminación luminica o haria propuestas de horas especificas en días específicos donde pueda apagar la iluminación unas horas
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;"Técnica: Implementar iluminación LED dirigida que minimice la dispersión de luz y permitir el uso de detectores de brillo para monitorear el nivel de contaminación lumínica en áreas clave. 

Económica: Invertir en tecnologías de alumbrado público eficiente que reduzcan el consumo energético y los costos operativos. 

Cultural: Organizar actividades de divulgación astronómica que sensibilicen sobre el valor del cielo estrellado. Promover proyectos culturales como eventos de observación astronómica en espacios públicos.

Social: Fomentar la participación ciudadana en la toma de decisiones sobre los alumbrados públicos, los cuales afectan la contaminación visual."
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;"Economico. Escojer un horario de observacion estratefico. 
Tecnico. Porteger la zona artificialmemte para aislar la contaminacion luminica. 
Cultural. Promover la proteccion del nocturno cielo como patrimonio 
Social. Hacer campañas em.comunidades para pormover la observacio del cielo. "
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;"Técnica: crear parques astronómicos con control de iluminación 
Económica: migrar a las luces LED que puedan tener detectores de presencia, ya que son más eficientes a la hora de consumir energía.
Cultural: promover la observación de estrellas
Social: incluir a comunidades en planes de alumbrado y campañas educativas sobre uso responsable de la luz."
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Que más personas garanticen el uso adecuado de la luz, para así darle un equilibro a los factores leidos anteriormente 
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;"En Medellín la contaminación lumínica varía mucho y es intensa, en El Poblado y Laureles sobra luz, mientras en Santa Elena aún se conserva el cielo oscuro. Técnicamente, se pueden usar luminarias dirigidas hacia abajo en barrios como Belén; económicamente, reducir gastos libera recursos para cultura; culturalmente, en manrique o Villa Hermosa se pueden organzar observaciones comunitarias y socialmente, las juntas de accion Comunal deberían decidir sobre alumbrado"
“La contaminación lumínica es un problema que limita el uso de telescopios en las ciudades. ¿Qué propuestas daría cada disciplina de su grupo para enfrentar este reto, equilibrando factores técnicos, económicos, culturales y sociales en la realidad de Medellín?”;Diseñar un plan de iluminación sostenible, sensibilización y educación para fomentar el buen uso lumínico, utilizar lámparas led invertir en nuevas tecnologías para el mejor uso de la electricidad 
